metric,condition,intensity,freq,mean,sem,sd,n
delta_rmse,LI_LF,LI,LF,6.25358893828554,1.16025330381964,4.4936417230756005,15
delta_rmse,LI_MF,LI,MF,6.107143004982258,0.9177814047054553,3.554552095883078,15
delta_rmse,LI_HF,LI,HF,6.324565138365874,1.6065572839781626,6.222169605575644,15
delta_rmse,HI_LF,HI,LF,15.826406694843962,2.388983526433451,9.252493412240623,15
delta_rmse,HI_MF,HI,MF,8.96203991730133,1.8964986757354323,7.345107787227749,15
delta_rmse,HI_HF,HI,HF,11.722915474626928,2.8281181555339363,10.953254517489773,15
post_rmse,LI_LF,LI,LF,12.434905320465873,1.707669787886592,6.613776649306323,15
post_rmse,LI_MF,LI,MF,12.918929447397394,1.886971599637105,7.308209580160877,15
post_rmse,LI_HF,LI,HF,13.541492594854152,2.1483728673665774,8.32061233675463,15
post_rmse,HI_LF,HI,LF,23.062824990065124,2.7410191968827506,10.615921701161723,15
post_rmse,HI_MF,HI,MF,17.94680331337698,1.9108471576791635,7.400679218839178,15
post_rmse,HI_HF,HI,HF,18.81536853423389,3.3673883451355837,13.04183898092307,15
peak_deviation,LI_LF,LI,LF,21.708417533333336,3.0277631231323934,11.726476152152717,15
peak_deviation,LI_MF,LI,MF,22.8634936,3.5666161935424876,13.813445119903744,15
peak_deviation,LI_HF,LI,HF,22.9790056,3.5230029420306517,13.644531723124448,15
peak_deviation,HI_LF,HI,LF,42.1749048,5.2290084851983085,20.251862780350322,15
peak_deviation,HI_MF,HI,MF,32.999612600000006,3.6206373694877345,14.022668234682227,15
peak_deviation,HI_HF,HI,HF,35.862778666666664,6.599527435787851,25.559859851645285,15
post_auc,LI_LF,LI,LF,56.1157719699,7.735439325958213,29.959227685034087,15
post_auc,LI_MF,LI,MF,58.07826339433334,8.149175029900723,31.56161917613483,15
post_auc,LI_HF,LI,HF,60.59833294343333,9.713257131218057,37.619283106637965,15
post_auc,HI_LF,HI,LF,99.79775938986667,11.52027776020195,44.61784390894584,15
post_auc,HI_MF,HI,MF,79.0177529493,8.313854117625798,32.19941854036268,15
post_auc,HI_HF,HI,HF,83.45608872616667,15.058310485106118,58.32058573083653,15
