metric,intensity,contrast,freq_a,freq_b,n,t,p,mean_diff(a-b),cohens_dz,p_adj_holm,reject@0.05
recover_success_rate,LI,LF - HF,LF,HF,15,-3.6516626189190298,0.002616222305679956,-0.21818181818181823,-0.9428552339361043,0.007848666917039868,True
recover_success_rate,LI,LF - MF,LF,MF,15,-2.403005636744442,0.03069171504959052,-0.15238095238095234,-0.6204533874635848,0.06138343009918104,False
recover_success_rate,LI,MF - HF,MF,HF,15,-1.2191641796589412,0.2429254795171435,-0.06580086580086583,-0.3147868376074471,0.2429254795171435,False
recover_success_rate,HI,LF - MF,LF,MF,15,-4.602526053516525,0.0004104861183862681,-0.10793650793650787,-1.1883671170503498,0.0012314583551588042,True
recover_success_rate,HI,LF - HF,LF,HF,15,-4.486544597585932,0.0005122197066137817,-0.1737373737373737,-1.1584208338978115,0.0012314583551588042,True
recover_success_rate,HI,MF - HF,MF,HF,15,-1.891406864129681,0.07944202381061481,-0.06580086580086583,-0.4883591523784433,0.07944202381061481,False
delta_mean,LI,LF - HF,LF,HF,15,3.1483868632656127,0.007114414342079207,2.3831537673322476,0.8129099925897284,0.02134324302623762,True
delta_mean,LI,LF - MF,LF,MF,15,2.1292816479883947,0.05146247203561917,1.4212372818851278,0.549778157469609,0.10292494407123834,False
delta_mean,LI,MF - HF,MF,HF,15,1.198630770873167,0.25056813137466877,0.9619164854471208,0.30948513425623564,0.25056813137466877,False
delta_mean,HI,LF - HF,LF,HF,15,3.39524726103412,0.004353859452096676,3.714551919010459,0.8766490732160995,0.013061578356290028,True
delta_mean,HI,LF - MF,LF,MF,15,2.7988733861755195,0.01421180004560558,3.644937001688907,0.7226660008533965,0.02842360009121116,True
delta_mean,HI,MF - HF,MF,HF,15,0.07906366227238053,0.9381009790153632,0.0696149173215517,0.02041414981807316,0.9381009790153632,False
resid_11_14s_mean,LI,LF - MF,LF,MF,15,1.1882337865275998,0.25450837629887335,0.943964017345336,0.3068006444414916,0.3411564773093706,False
resid_11_14s_mean,LI,LF - HF,LF,HF,15,1.687149254389576,0.1137188257697902,1.5887853526604667,0.43562006432113926,0.3411564773093706,False
resid_11_14s_mean,LI,MF - HF,MF,HF,15,1.46671598145864,0.16455459978043221,0.6448213353151312,0.3787044379870386,0.3411564773093706,False
resid_11_14s_mean,HI,MF - HF,MF,HF,15,8.461649812468597,7.084869990086963e-07,11.47146369152259,2.184788587008666,2.1254609970260887e-06,True
resid_11_14s_mean,HI,LF - HF,LF,HF,15,7.774655611297648,1.9067834186160745e-06,13.896018628948356,2.007407447003589,3.813566837232149e-06,True
resid_11_14s_mean,HI,LF - MF,LF,MF,15,2.0416994031262643,0.06049418718855134,2.4245549374257687,0.527164519084643,0.06049418718855134,False
